short_description,description,combined_desc,caller,assignment_group
login issue,user employee manager checked user ad reset password advised user login check caller confirmed able login issue resolved,login issue user employee manager checked user ad reset password advised user login check caller confirmed able login issue resolved,spxjnwir pjlcoqds,GRP_0
outlook,received team not outlook calendar somebody advise correct,outlook received team not outlook calendar somebody advise correct,hmjdrvpb komuaywn,GRP_0
cant log,received cannot log,cant log received cannot log,eylqgodm ybqkwiam,GRP_0
unable access tool page,unable access tool page,unable access tool page unable access tool page,xbkucsvz gcpydteq,GRP_0
error,error,error error,owlgqjme qhcozdfx,GRP_0
unable log engineering tool,unable log engineering tool,unable log engineering tool unable log engineering tool,eflahbxn ltdgrvkz,GRP_0
event critical company value threshold oracle,event critical company value threshold oracle,event critical company value threshold oracle event critical company value threshold oracle,jyoqwxhz clhxsoqy,GRP_1
ticket employment status new non employee enter,ticket employment status new non employee enter,ticket employment status new non employee enter ticket employment status new non employee enter,eqzibjhw ymebpoih,GRP_0
unable disable add outlook,unable disable add outlook,unable disable add outlook unable disable add outlook,mdbegvct dbvichlg,GRP_0
ticket update,ticket update,ticket update ticket update,fumkcsji sarmtlhy,GRP_0
engineering tool not connected unable submit,engineering tool not connected unable submit,engineering tool not connected unable submit engineering tool not connected unable submit,badgknqs xwelumfz,GRP_0
tool site not loading page correctly,tool site not loading page correctly,tool site not loading page correctly tool site not loading page correctly,dcqsolkx kmsijcuz,GRP_0
unable login tool,unable login tool,unable login tool unable login tool,oblekmrw qltgvspb,GRP_0
user reset password,user reset password,user reset password user reset password,iftldbmu fujslwby,GRP_0
unable open,unable open,unable open unable open,epwyvjsz najukwho,GRP_0
unable login company,received unable login company trying open new session link not able get help urgently working home tomorrow due month end,unable login company received unable login company trying open new session link not able get help urgently working home tomorrow due month end,chobktqj qdamxfuc,GRP_0
screen not come back,screen not come back,screen not come back screen not come back,sigfdwcj reofwzlm,GRP_3
account locked,account locked,account locked account locked,nqdyowsm yqerwtna,GRP_0
unable sign,unable sign,unable sign unable sign,ftsqkvre bqzrupic,GRP_0
unable check,unable check,unable check unable check,mrzgjdal whnldmef,GRP_0
issue,received not able connect home office couple ago connected not working getting message session click link nothing need help dynamics click chat live agent regarding dynamics click,issue received not able connect home office couple ago connected not working getting message session click link nothing need help dynamics click chat live agent regarding dynamics click,ugephfta hrbqkvij,GRP_0
unable connect,unable connect,unable connect unable connect,pfmcnahv ofzlusri,GRP_0
user vendor phone number,user vendor phone number,user vendor phone number user vendor phone number,fumkcsji sarmtlhy,GRP_0
not working,received not able connect company network check sir not able result no company network,not working received not able connect company network check sir not able result no company network,dceoufyz saufqkmd,GRP_0
password reset,password reset,password reset password reset,jqhtkfsm xoehtbnl,GRP_0
unable login tool check,unable login tool check,unable login tool check unable login tool check,dtisfuyp fpvrjlkz,GRP_0
unable log,unable log,unable log unable log,hvskpglx bpsfxmon,GRP_0
password reset collaboration platform,password reset collaboration platform,password reset collaboration platform password reset collaboration platform,wrlzneit ayqutwgh,GRP_0
reset,reset password client id,reset reset password client id,qcehailo wqynckxg,GRP_0
duplication network address,received two trying share address trying share one printer new display display get address assigned printer hard guess address not get set static address need corrected display pick another address,duplication network address received two trying share address trying share one printer new display display get address assigned printer hard guess address not get set static address need corrected display pick another address,kxsceyzo naokumlb,GRP_4
ess password reset,ess password reset,ess password reset ess password reset,fsqwkbez eudsantq,GRP_0
unable install flash player,unable install flash player,unable install flash player unable install flash player,xzbhmfpg bhqxesym,GRP_0
ticket employment status new non employee,ticket employment status new non employee,ticket employment status new non employee ticket employment status new non employee,eqzibjhw ymebpoih,GRP_0
account unlock password reset,account unlock password reset,account unlock password reset account unlock password reset,ztlvkmyi xldyitwz,GRP_0
unable resolve ticket no assigned self,status button,unable resolve ticket no assigned self status button,shloyakw jztsxdln,GRP_0
engineering tool,need install engineering tool,engineering tool need install engineering tool,qcxivzag vyucbagx,GRP_0
call,call,call call,olckhmvx pcqobjnd,GRP_0
tablet sound not working,tablet sound not working,tablet sound not working tablet sound not working,eqxakzyi cwfrjitq,GRP_0
unable login system,unable login system,unable login system unable login system,zcaeryfo tdovhslb,GRP_0
reroute issue needs resolved today,received printer not working needs part reroute queue printer needs new part may not deliver days need print needs taken care today since printed picked outside vendor daily basis contact queue today,reroute issue needs resolved today received printer not working needs part reroute queue printer needs new part may not deliver days need print needs taken care today since printed picked outside vendor daily basis contact queue today,yisohglr uvteflgb,GRP_5
not log tool single sign portal,not log tool single sign portal,not log tool single sign portal not log tool single sign portal,wpdxlbhz etvzjmhx,GRP_0
password password management tool didnt update account,password password management tool didnt update account,password password management tool didnt update account password password management tool didnt update account,lduqxywt wcydjgvl,GRP_0
job job_1424 job_scheduler,received job job_1424 job_scheduler,job job_1424 job_scheduler received job job_1424 job_scheduler,bpctwhsn kzqsbmtp,GRP_6
password change via password management tool,password change via password management tool,password change via password management tool password change via password management tool,boyqfsca yoqrmnep,GRP_0
status not change telephony,call agent call status,status not change telephony call agent call status,aofnvyzt eqiyskhm,GRP_7
job job_scheduler,received job job_scheduler,job job_scheduler received job job_scheduler,bpctwhsn kzqsbmtp,GRP_8
need password management tool password manager password reset,need password management tool password manager password reset,need password management tool password manager password reset need password management tool password manager password reset,jwhmqnye xlpvdwre,GRP_0
reset password,received reset password global product manager,reset password received reset password global product manager,cdbaoqts wqbsodni,GRP_0
account locked office,account kept locking possible mobile device setup incorrect password network not match,account locked office account kept locking possible mobile device setup incorrect password network not match,kyzhcsrq fwyltvpd,GRP_0
meeting,received good morning reset password lost option setting meeting help cant recall able bring back last time,meeting received good morning reset password lost option setting meeting help cant recall able bring back last time,dlougnqw jiuybxew,GRP_0
enquiry impact,enquiry impact get password reset,enquiry impact enquiry impact get password reset,kpudhygb vnizrdeb,GRP_0
need material plant plant thanks,need material plant plant thanks,need material plant plant thanks need material plant plant thanks,wckrxovs aunsgzmd,GRP_6
unlock password,received help unlock company net log password urgent,unlock password received help unlock company net log password urgent,cnhkypxw lafncksi,GRP_0
job job_3181 job_scheduler,received job job_3181 job_scheduler,job job_3181 job_scheduler received job job_3181 job_scheduler,bpctwhsn kzqsbmtp,GRP_8
password user,password user,password user password user,qslrdpwk mdkivacj,GRP_0
outlook,received,outlook received,lkfzibrx ljnabpgx,GRP_0
urgent create,help try create plant plant,urgent create help try create plant plant,qfnthlam lxvnwuja,GRP_6
company two since,company two since company company access company company access,company two since company two since company company access company company access,utyeofsk rdyzpwhi,GRP_8
error login system,error login system user employee manager user tried password management tool manager unlocked id caller confirmed able login issue resolved,error login system error login system user employee manager user tried password management tool manager unlocked id caller confirmed able login issue resolved,quxtnlgd tqnjyzsm,GRP_0
delivery note cant post goods issue,plant plant plant issue display note not check entry,delivery note cant post goods issue plant plant plant issue display note not check entry,lyzqrctk cfotnzrx,GRP_0
job job_1338 job_scheduler,received job job_1338 job_scheduler,job job_1338 job_scheduler received job job_1338 job_scheduler,bpctwhsn kzqsbmtp,GRP_9
job job_1854 job_scheduler,received job job_1854 job_scheduler,job job_1854 job_scheduler received job job_1854 job_scheduler,bpctwhsn kzqsbmtp,GRP_8
job job_2588 job_scheduler,received job job_2588 job_scheduler,job job_2588 job_scheduler received job job_2588 job_scheduler,bpctwhsn kzqsbmtp,GRP_8
job job_2599 job_scheduler,received job job_2599 job_scheduler,job job_2599 job_scheduler received job job_2599 job_scheduler,bpctwhsn kzqsbmtp,GRP_8
user locked user,received team kindly release locked computer user user,user locked user received team kindly release locked computer user user,przndfbo pldqbhtn,GRP_0
dell not working urgent help,dell not working urgent help,dell not working urgent help dell not working urgent help,jgautdmk fpurxzew,GRP_0
user needs help connect wireless connection home,user needs help connect wireless connection home user connect lan home connected user system checked network help user login home wireless disconnected home lan user confirmed able login home wireless issue resolved,user needs help connect wireless connection home user needs help connect wireless connection home user connect lan home connected user system checked network help user login home wireless disconnected home lan user confirmed able login home wireless issue resolved,imoelsap gxdwkimv,GRP_0
job payroll job_scheduler,received job payroll job_scheduler,job payroll job_scheduler received job payroll job_scheduler,bpctwhsn kzqsbmtp,GRP_10
